State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,4,1160,Bicentennial Union High School District,"11,251",311,44
AZ,4,1180,Bisbee Unified District,"6,786",769,191
AZ,4,1230,Blue Elementary District,43,0,0
AZ,4,6580,Blue Ridge Unified District,"14,680","2,454",520
AZ,4,1260,Bonita Elementary District,"1,249",54,8
AZ,4,1290,Bouse Elementary District,"1,219",46,9
AZ,4,1330,Bowie Unified District,578,79,17
AZ,4,1380,Buckeye Elementary District,"44,243","6,146",958
AZ,4,1410,Buckeye Union High School District,"77,313","4,512",515
AZ,4,1500,Bullhead City School District,"42,557","3,363","1,227"
AZ,4,1600,Camp Verde Unified District,"12,758","1,765",447
AZ,4,1650,Canon Elementary District,"3,250",331,122
AZ,4,1680,Cartwright Elementary District,"131,655","22,288","6,793"
AZ,4,1710,Casa Grande Elementary District,"74,844","9,657","1,812"
AZ,4,1740,Casa Grande Union High School District,"106,811","5,696","1,028"
AZ,4,1760,Catalina Foothills Unified District,"33,330","4,597",215
AZ,4,1,Cave Creek Unified District,"66,007","9,079",646
AZ,4,1810,Cedar Unified District,"7,537","1,577",630
AZ,4,1870,Chandler Unified District,"259,424","47,665","3,889"
AZ,4,1920,Chevelon Butte School District,695,27,1
AZ,4,1940,Chinle Unified District,"20,307","4,566","2,690"
AZ,4,3,Chino Valley Unified District,"23,970","3,395",441
AZ,4,4,Clarkdale-Jerome Elementary District,"4,215",329,29
AZ,4,2130,Cochise Elementary District,251,31,5
AZ,4,21,Colorado City Unified District,"6,501","2,272",763
AZ,4,82,Colorado River Union High School District,"68,228","2,625",671
AZ,4,2190,Concho Elementary District,"2,491",273,68
AZ,4,2220,Congress Elementary District,"2,717",203,16
AZ,4,2250,Continental Elementary District,"27,821",679,49
AZ,4,2320,Coolidge Unified District,"22,327","4,293","1,070"
AZ,4,2370,Cottonwood-Oak Creek Elementary District,"32,793","2,888",528
AZ,4,2400,Crane Elementary District,"47,271","6,675","1,643"
AZ,4,2430,Creighton Elementary District,"77,529","9,872","2,822"
AZ,4,2460,Crown King Elementary District,194,14,2
AZ,4,7750,Deer Valley Unified District,"280,890","50,269","4,557"
AZ,4,2490,Double Adobe Elementary District,462,81,15
AZ,4,2530,Douglas Unified District,"21,023","4,226","1,583"
AZ,4,2600,Duncan Unified District,"2,984",533,67
AZ,4,2690,Dysart Unified District,"192,297","34,955","4,447"
AZ,4,2710,Eagle Elementary District,48,4,0
AZ,4,2760,Elfrida Elementary District,"1,075",117,16
AZ,4,2790,Eloy Elementary District,"8,180","1,138",403
AZ,4,2820,Empire Elementary District,479,70,16
AZ,4,2860,Flagstaff Unified District,"97,844","12,965","1,159"
AZ,4,2920,Florence Unified School District,"107,521","18,053","2,209"
AZ,4,3010,Flowing Wells Unified District,"32,052","5,107","1,312"
AZ,4,3150,Fort Huachuca Accommodation District,"5,380",669,72
AZ,4,3200,Fort Thomas Unified District,"2,651",640,177
AZ,4,3040,Fountain Hills Unified District,"27,041","2,802",178
AZ,4,3060,Fowler Elementary District,"34,963","5,877","1,581"
